mood,amount of sleep,phiscal activity,cognative load,water,quality of sleep,qualitiy of sleep,time socializing
4,7,-3,4,4.5,5,0,0
5,8.5,-3,4,4.5,5,2,1
5,9,-3,4,4.5,5,0,1.5
3,6.5,-3,5,4.5,5,0,0.5
4,6.5,-3,5,4.5,5,0,0
5,7,-3,5,4.5,5,0,0
3,7,-3,4,4.5,5,0,0
5,9,-3,3,4,5,0,1
5,10,-3,4,4.5,5,0,1.5
4,7,-4,5,4.5,5,0,2
3,7,-4,3,4.5,5,0,0
5,6.5,-4,4,4.5,4,0,1
